Locations,One Galle Face,Colombo City Center,Galle Face Green,Gangaramaya Temple,National Museum of Colombo,Independence Memorial Hall,Dutch Museum,National Art Gallery,Kelaniya Raja Maha Viharaya,Kailasanathar Swamy Kovil,Viharamahadevi Park,Port City,Lotus Tower,Jami Ul-Alfar Mosque,Pettah Market
,,,,2,35,,,,,,,,,,
,,,,15,40,,,,,,,,,,
,,,,15,50,,,,,,,,,,
,,,,30,150,,,,,,,,,,
,,,,30,180,,,,,,,,,,
,,,,15,150,,,,,,,,,,
,,,,30,180,,,,,,,,,,
,,,,30,150,,,,,,,,,,
,,,,20,150,,,,,,,,,,
,,,,30,180,,,,,,,,,,
,,,,15,180,,,,,,,,,,
,,,,20,120,,,,,,,,,,
,,,,5,90,,,,,,,,,,
,,,,15,90,,,,,,,,,,
,,,,10,120,,,,,,,,,,
,,,,240,300,,,,,,,,,,
,,,,12,270,,,,,,,,,,
,,,,15,80,,,,,,,,,,
,,,,17,150,,,,,,,,,,
,,,,20,180,,,,,,,,,,
,,,,35,90,,,,,,,,,,
,,,,40,120,,,,,,,,,,
,,,,17,100,,,,,,,,,,
,,,,20,150,,,,,,,,,,
,,,,23,180,,,,,,,,,,
,,,,30,90,,,,,,,,,,
,,,,35,120,,,,,,,,,,
,,,,40,90,,,,,,,,,,
,,,,90,120,,,,,,,,,,
,,,,60,90,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,37,90,,,,,,,,,,
,,,,45,90,,,,,,,,,,
,,,,45,120,,,,,,,,,,
,,,,37,120,,,,,,,,,,
,,,,80,50,,,,,,,,,,
,,,,90,270,,,,,,,,,,
,,,,120,270,,,,,,,,,,
,,,,90,300,,,,,,,,,,
,,,,120,300,,,,,,,,,,
,,,,210,420,,,,,,,,,,
,,,,240,390,,,,,,,,,,
,,,,90,50,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,90,240,,,,,,,,,,
,,,,60,300,,,,,,,,,,
,,,,120,90,,,,,,,,,,
,,,,120,90,,,,,,,,,,
,,,,150,120,,,,,,,,,,
,,,,150,120,,,,,,,,,,
,,,,90,120,,,,,,,,,,
,,,,60,90,,,,,,,,,,
,,,,150,300,,,,,,,,,,
,,,,180,180,,,,,,,,,,
,,,,240,150,,,,,,,,,,
,,,,300,150,,,,,,,,,,
,,,,150,180,,,,,,,,,,
,,,,180,120,,,,,,,,,,
,,,,90,105,,,,,,,,,,
,,,,120,150,,,,,,,,,,
,,,,90,150,,,,,,,,,,
,,,,120,150,,,,,,,,,,
,,,,120,180,,,,,,,,,,
