Unnamed: 0,locations,stayTime,randomized_stay_time,timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night,locationType_Beaches and Parks,locationType_Miscellaneous,locationType_Museums and Galleries,locationType_Religious Site,locationType_Shopping Center,placeID_ChIJ29ux5BlZ4joRqIYssICvt2w,placeID_ChIJ2fnv9CxZ4joRsFXQ14mM27Q,placeID_ChIJ4zP25CFZ4joR5oPveZLBwLA,placeID_ChIJ9asnzG9Z4joRpzOYo3-ENCk,placeID_ChIJBfNyajlZ4joRbxOUv8Ykfl4,placeID_ChIJC46ViHtZ4joRCya8Jp8IxcE,placeID_ChIJQ9yCmWtZ4joRNu1evW41NTo,placeID_ChIJTXbn3s9b4joRxbASabb7l98,placeID_ChIJYZELmiFZ4joRKmKnrRRtj9g,placeID_ChIJZRPdHihY4joRRH3j8j-i36Y,placeID_ChIJiZ1zLxFZ4joRAdmjKdiEMjU,placeID_ChIJiey0cW5Z4joR3EK-cBauPac,placeID_ChIJr7L0oW9Z4joRjaT5aD0oCtk,placeID_ChIJseUqHGtZ4joRgteF9GKSLoc
3306,Colombo City Center (CCC),120.0,121.49047187580744,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3307,Colombo City Center (CCC),120.0,116.42929486155832,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1351,Colombo City Center (CCC),120.0,118.82312516131948,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2009,Colombo City Center (CCC),180.0,198.2007894796648,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2545,Colombo City Center (CCC),90.0,100.43565243176224,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
569,Colombo City Center (CCC),60.0,58.945339601614165,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
570,Colombo City Center (CCC),200.0,220.2879338131879,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
571,Colombo City Center (CCC),60.0,69.78986441362451,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1397,Colombo City Center (CCC),60.0,61.48649776333498,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1398,Colombo City Center (CCC),120.0,103.43006581977522,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
920,Colombo City Center (CCC),60.0,72.04012289172998,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
919,Colombo City Center (CCC),60.0,69.16402232465906,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
918,Colombo City Center (CCC),60.0,50.64266123385748,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1998,Colombo City Center (CCC),180.0,160.52819436550286,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3111,Colombo City Center (CCC),120.0,120.01952690226884,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215,Colombo City Center (CCC),200.0,202.8797667848393,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
214,Colombo City Center (CCC),60.0,81.29476370730207,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
213,Colombo City Center (CCC),45.0,26.61758557721681,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1989,Colombo City Center (CCC),180.0,184.4441855917243,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2570,Colombo City Center (CCC),90.0,102.6242925305833,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1986,Colombo City Center (CCC),180.0,185.5732984051752,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1417,Colombo City Center (CCC),200.0,207.2436876479831,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3391,Colombo City Center (CCC),120.0,118.68555010667671,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1985,Colombo City Center (CCC),180.0,178.6734856797296,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2533,Colombo City Center (CCC),90.0,100.62228691960176,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2441,Colombo City Center (CCC),90.0,95.5127924198858,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3356,Colombo City Center (CCC),120.0,117.28483661267488,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
945,Colombo City Center (CCC),45.0,39.70438501106072,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1352,Colombo City Center (CCC),120.0,137.62747521980157,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
963,Colombo City Center (CCC),120.0,130.46765121134405,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2981,Colombo City Center (CCC),120.0,121.83873576001317,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
257,Colombo City Center (CCC),120.0,119.93202584706596,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
256,Colombo City Center (CCC),120.0,122.8790002532318,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
255,Colombo City Center (CCC),60.0,61.661732556694815,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3308,Colombo City Center (CCC),120.0,120.3507478072166,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
553,Colombo City Center (CCC),60.0,58.4685647712323,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2046,Colombo City Center (CCC),180.0,175.36269800883235,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
554,Colombo City Center (CCC),120.0,103.65609732167704,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3319,Colombo City Center (CCC),120.0,127.02079993939788,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3320,Colombo City Center (CCC),120.0,125.86095544012716,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3321,Colombo City Center (CCC),120.0,106.21061798332543,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2037,Colombo City Center (CCC),180.0,173.83930979583317,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2036,Colombo City Center (CCC),180.0,172.32850860913533,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
947,Colombo City Center (CCC),45.0,60.32666576990416,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3329,Colombo City Center (CCC),120.0,110.44864074529316,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2020,Colombo City Center (CCC),180.0,164.20958157392488,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1380,Colombo City Center (CCC),120.0,111.70119845588414,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1381,Colombo City Center (CCC),60.0,54.80384598804072,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
946,Colombo City Center (CCC),60.0,79.6468326891967,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3347,Colombo City Center (CCC),120.0,113.39315362900146,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2433,Colombo City Center (CCC),90.0,86.13658192931294,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1019,Colombo City Center (CCC),60.0,38.22439696007848,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3243,Colombo City Center (CCC),120.0,126.63799269506092,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1083,Colombo City Center (CCC),120.0,105.76658045284434,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1082,Colombo City Center (CCC),45.0,53.32367935835373,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
