,locations,timeOfDay,stayTime
3056,Pettah Market,Night,60
3060,One Galle Face ,Morning,45
3061,One Galle Face ,Evening,120
3062,One Galle Face ,Night,120
3063,Colombo City Center (CCC),Morning,120
3064,Colombo City Center (CCC),Evening,120
3065,Colombo City Center (CCC),Night,60
3066,Galle Face Green,Morning,45
3067,Galle Face Green,Evening,45
3068,Galle Face Green,Night,60
3072,National Museum of Colombo,Morning,45
3075,Independence Memorial Hall,Morning,60
3076,Independence Memorial Hall,Evening,60
3077,Independence Memorial Hall,Night,60
3078,Dutch Museum,Morning,45
3079,Dutch Museum,Evening,45
3080,Dutch Museum,Night,45
3081,National Art Gallery,Morning,60
3082,National Art Gallery,Evening,60
3084,Kelaniya Raja Maha Viharaya,Morning,45
3085,Kelaniya Raja Maha Viharaya,Evening,45
3087,Kailasanathar Swamy Kovil,Morning,60
3088,Kailasanathar Swamy Kovil,Evening,45
3090,Viharamahadevi Park,Morning,45
3091,Viharamahadevi Park,Evening,45
3092,Viharamahadevi Park,Night,45
3099,Pettah Market,Morning,120
3100,Pettah Market,Evening,120
3101,Pettah Market,Night,120
3106,One Galle Face ,Evening,60
3109,Colombo City Center (CCC),Evening,60
3112,Galle Face Green,Evening,60
3144,Pettah Market,Morning,120
3148,Jami Ul-Alfar Mosque,Evening,120
3151,One Galle Face ,Evening,60
3152,One Galle Face ,Night,120
3155,Colombo City Center (CCC),Night,60
3156,Galle Face Green,Morning,45
3157,Galle Face Green,Evening,60
3158,Galle Face Green,Night,120
3165,Independence Memorial Hall,Morning,60
3166,Independence Memorial Hall,Evening,60
3167,Independence Memorial Hall,Night,60
3177,Kailasanathar Swamy Kovil,Morning,60
3180,Viharamahadevi Park,Morning,45
3181,Viharamahadevi Park,Evening,60
3182,Viharamahadevi Park,Night,60
3188,Lotus Tower,Night,120
3189,Pettah Market,Morning,120
3190,Pettah Market,Evening,60
3191,Pettah Market,Night,60
3195,One Galle Face ,Morning,45
3196,One Galle Face ,Evening,45
3197,One Galle Face ,Night,45
3198,Colombo City Center (CCC),Morning,60
3199,Colombo City Center (CCC),Evening,60
3200,Colombo City Center (CCC),Night,45
3228,Port City,Morning,45
3229,Port City,Evening,45
3234,Pettah Market,Morning,60
3235,Pettah Market,Evening,60
3236,Pettah Market,Night,45
3240,One Galle Face ,Morning,45
3241,One Galle Face ,Evening,200
3247,Galle Face Green,Evening,120
3248,Galle Face Green,Night,45
3271,Viharamahadevi Park,Evening,120
3274,Port City,Evening,45
3277,Lotus Tower,Evening,200
3279,Pettah Market,Morning,200
3280,Pettah Market,Evening,200
3287,One Galle Face ,Night,120
3293,Galle Face Green,Night,120
3296,Gangaramaya Temple,Night,45
3299,National Museum of Colombo,Night,60
3302,Independence Memorial Hall,Night,45
3312,Kailasanathar Swamy Kovil,Morning,200
3313,Kailasanathar Swamy Kovil,Evening,200
3314,Kailasanathar Swamy Kovil,Night,200
3315,Viharamahadevi Park,Morning,60
3316,Viharamahadevi Park,Evening,120
3317,Viharamahadevi Park,Night,120
3325,Pettah Market,Evening,60
3337,Galle Face Green,Evening,45
3338,Galle Face Green,Night,60
3341,Gangaramaya Temple,Night,45
3342,National Museum of Colombo,Morning,120
3343,National Museum of Colombo,Evening,120
3346,Independence Memorial Hall,Evening,45
3347,Independence Memorial Hall,Night,45
3354,Kelaniya Raja Maha Viharaya,Morning,60
3355,Kelaniya Raja Maha Viharaya,Evening,60
3356,Kelaniya Raja Maha Viharaya,Night,60
3362,Viharamahadevi Park,Night,120
3364,Port City,Evening,45
3365,Port City,Night,60
3369,Pettah Market,Morning,45
3370,Pettah Market,Evening,45
3375,One Galle Face ,Morning,60
3376,One Galle Face ,Evening,60
3377,One Galle Face ,Night,120
3378,Colombo City Center (CCC),Morning,60
3379,Colombo City Center (CCC),Evening,60
3380,Colombo City Center (CCC),Night,120
3381,Galle Face Green,Morning,60
3382,Galle Face Green,Evening,60
3383,Galle Face Green,Night,60
3384,Gangaramaya Temple,Morning,45
3385,Gangaramaya Temple,Evening,45
3386,Gangaramaya Temple,Night,45
3387,National Museum of Colombo,Morning,60
3388,National Museum of Colombo,Evening,60
3389,National Museum of Colombo,Night,60
3390,Independence Memorial Hall,Morning,60
3391,Independence Memorial Hall,Evening,60
3392,Independence Memorial Hall,Night,60
3393,Dutch Museum,Morning,60
3394,Dutch Museum,Evening,60
3395,Dutch Museum,Night,60
3396,National Art Gallery,Morning,60
3397,National Art Gallery,Evening,60
3398,National Art Gallery,Night,60
3399,Kelaniya Raja Maha Viharaya,Morning,45
3400,Kelaniya Raja Maha Viharaya,Evening,45
3401,Kelaniya Raja Maha Viharaya,Night,45
3402,Kailasanathar Swamy Kovil,Morning,45
3403,Kailasanathar Swamy Kovil,Evening,45
3404,Kailasanathar Swamy Kovil,Night,45
3405,Viharamahadevi Park,Morning,45
3406,Viharamahadevi Park,Evening,60
3407,Viharamahadevi Park,Night,60
3408,Port City,Morning,60
3409,Port City,Evening,60
3410,Port City,Night,60
3411,Lotus Tower,Morning,45
3412,Lotus Tower,Evening,60
3413,Lotus Tower,Night,60
3414,Pettah Market,Morning,45
3415,Pettah Market,Evening,60
3416,Pettah Market,Night,60
3421,One Galle Face ,Evening,200
3422,One Galle Face ,Night,200
3424,Colombo City Center (CCC),Evening,200
3425,Colombo City Center (CCC),Night,200
3428,Galle Face Green,Night,45
3446,Kelaniya Raja Maha Viharaya,Night,60
3465,One Galle Face ,Evening,150
3466,Colombo City Center (CCC),Morning,150
3467,Colombo City Center (CCC),Evening,150
3468,Colombo City Center (CCC),Night,150
3469,Galle Face Green,Night,150
3470,Dutch Museum,Morning,150
3471,Dutch Museum,Evening,150
3472,Dutch Museum,Night,150
3473,National Art Gallery,Night,150
3474,Kelaniya Raja Maha Viharaya,Morning,150
3475,Kailasanathar Swamy Kovil,Morning,150
3476,Kailasanathar Swamy Kovil,Evening,150
3477,Viharamahadevi Park,Night,150
3478,Port City,Evening,150
3479,Lotus Tower,Morning,150
3480,Lotus Tower,Evening,150
3481,Viharamahadevi Park,Morning,150
3482,Viharamahadevi Park,Night,150
3483,Port City,Night,150
3484,Pettah Market,Evening,150
3485,Pettah Market,Night,150
3486,One Galle Face ,Morning,150
3487,Colombo City Center (CCC),Morning,150
3488,Colombo City Center (CCC),Evening,150
3489,Colombo City Center (CCC),Night,150
3490,Galle Face Green,Night,150
3491,Gangaramaya Temple,Night,150
3492,National Museum of Colombo,Morning,150
3493,National Art Gallery,Morning,150
3494,National Art Gallery,Evening,150
3495,Viharamahadevi Park,Evening,150
3496,Port City,Night,150
3497,Lotus Tower,Night,150
3498,Pettah Market,Morning,150
3499,One Galle Face ,Morning,150
3500,One Galle Face ,Evening,150
3501,Colombo City Center (CCC),Morning,150
3502,Galle Face Green,Evening,150
3503,Dutch Museum,Morning,150
3504,Port City,Morning,150
3505,Pettah Market,Evening,150
3506,One Galle Face ,Morning,150
3507,One Galle Face ,Evening,150
3508,One Galle Face ,Night,150
3509,Colombo City Center (CCC),Night,150
3510,National Art Gallery,Morning,150
3511,Pettah Market,Morning,150
3512,One Galle Face ,Evening,150
3513,Galle Face Green,Night,150
3514,Gangaramaya Temple,Night,150
3515,Viharamahadevi Park,Night,150
3516,One Galle Face ,Evening,150
3517,One Galle Face ,Night,150
3518,Colombo City Center (CCC),Evening,150
3519,Colombo City Center (CCC),Night,150
3520,Galle Face Green,Night,150
3521,Port City,Morning,150
3522,Colombo City Center (CCC),Evening,150
3523,Galle Face Green,Morning,150
3524,Gangaramaya Temple,Night,150
3525,Independence Memorial Hall,Morning,150
3526,Kelaniya Raja Maha Viharaya,Night,150
3527,Viharamahadevi Park,Evening,150
3528,One Galle Face ,Evening,150
3529,One Galle Face ,Night,150
3530,Colombo City Center (CCC),Evening,150
3531,Colombo City Center (CCC),Night,150
3532,Galle Face Green,Morning,150
3533,Galle Face Green,Evening,150
3534,Galle Face Green,Night,150
3535,National Museum of Colombo,Morning,150
3536,National Museum of Colombo,Evening,150
3537,Independence Memorial Hall,Morning,150
3538,Independence Memorial Hall,Evening,150
3539,Kelaniya Raja Maha Viharaya,Morning,150
3540,Viharamahadevi Park,Evening,150
3541,One Galle Face ,Night,150
3542,Colombo City Center (CCC),Night,150
3543,Kelaniya Raja Maha Viharaya,Evening,150
3544,Port City,Morning,150
3545,Port City,Evening,150
3546,Lotus Tower,Evening,150
3547,Dutch Museum,Morning,150
3548,Dutch Museum,Evening,150
3549,Dutch Museum,Night,150
3550,National Art Gallery,Morning,150
3551,Jami Ul-Alfar Mosque,Morning,150
3552,One Galle Face ,Night,150
3553,National Museum of Colombo,Morning,150
3554,Colombo City Center (CCC),Evening,150
3555,Gangaramaya Temple,Night,150
3556,Independence Memorial Hall,Morning,150
3557,Independence Memorial Hall,Evening,150
3558,Kailasanathar Swamy Kovil,Evening,150
3559,Kailasanathar Swamy Kovil,Night,150
3560,Port City,Evening,150
3561,Galle Face Green,Evening,150
3562,Gangaramaya Temple,Night,150
3563,One Galle Face ,Evening,150
3564,One Galle Face ,Night,150
3565,National Museum of Colombo,Evening,150
3566,Kelaniya Raja Maha Viharaya,Morning,150
3567,Viharamahadevi Park,Evening,150
3568,One Galle Face ,Morning,150
3569,One Galle Face ,Night,150
3570,Colombo City Center (CCC),Morning,150
3571,Colombo City Center (CCC),Night,150
3572,Galle Face Green,Morning,150
3573,Gangaramaya Temple,Night,150
3574,National Museum of Colombo,Morning,150
3575,National Museum of Colombo,Night,150
3576,Independence Memorial Hall,Evening,150
3577,Independence Memorial Hall,Night,150
3578,Viharamahadevi Park,Morning,150
3579,One Galle Face ,Evening,150
3580,Colombo City Center (CCC),Evening,150
3581,Independence Memorial Hall,Evening,150
3582,Lotus Tower,Night,150
3583,Pettah Market,Evening,150
3584,National Museum of Colombo,Evening,150
3585,Dutch Museum,Evening,150
3586,Dutch Museum,Night,150
3587,National Art Gallery,Evening,150
3588,Kelaniya Raja Maha Viharaya,Morning,150
3589,Kelaniya Raja Maha Viharaya,Night,150
3590,Pettah Market,Evening,150
3591,Galle Face Green,Evening,150
3592,Kelaniya Raja Maha Viharaya,Evening,150
3593,One Galle Face ,Evening,150
3594,Pettah Market,Morning,150
3595,Pettah Market,Evening,150
3596,One Galle Face ,Evening,150
3597,Colombo City Center (CCC),Night,150
3598,Independence Memorial Hall,Morning,150
3599,One Galle Face ,Night,150
3600,Colombo City Center (CCC),Night,150
3601,Galle Face Green,Evening,150
3602,National Museum of Colombo,Morning,150
3603,National Art Gallery,Evening,150
3604,Kelaniya Raja Maha Viharaya,Morning,150
3605,Viharamahadevi Park,Night,150
3606,Port City,Morning,150
3607,Pettah Market,Morning,150
3608,One Galle Face ,Night,150
3609,Colombo City Center (CCC),Night,150
3610,Galle Face Green,Night,150
3611,Dutch Museum,Night,150
3612,Kailasanathar Swamy Kovil,Morning,150
3613,One Galle Face ,Evening,150
3614,Colombo City Center (CCC),Evening,150
3615,One Galle Face ,Evening,150
3616,One Galle Face ,Night,150
3617,Colombo City Center (CCC),Evening,150
3618,Port City,Night,150
3619,One Galle Face ,Morning,150
3620,National Art Gallery,Morning,150
3621,National Art Gallery,Evening,150
3622,National Art Gallery,Night,150
3623,Kailasanathar Swamy Kovil,Morning,150
3624,Kailasanathar Swamy Kovil,Evening,150
3625,Kailasanathar Swamy Kovil,Night,150
3626,Pettah Market,Morning,150
3627,Pettah Market,Evening,150
3628,Pettah Market,Night,150
3629,One Galle Face ,Night,150
3630,Colombo City Center (CCC),Night,150
3631,Galle Face Green,Evening,150
3632,Galle Face Green,Night,150
3633,Independence Memorial Hall,Morning,150
3634,Independence Memorial Hall,Evening,150
3635,Dutch Museum,Morning,150
3636,National Art Gallery,Morning,150
3637,Kailasanathar Swamy Kovil,Morning,150
3638,Viharamahadevi Park,Evening,150
3639,Viharamahadevi Park,Night,150
3640,Port City,Morning,150
3641,Pettah Market,Morning,150
3642,Pettah Market,Evening,150
3643,One Galle Face ,Night,150
3644,Colombo City Center (CCC),Evening,150
3645,Galle Face Green,Evening,150
3646,Pettah Market,Evening,150
3647,One Galle Face ,Night,150
3648,One Galle Face ,Evening,150
3649,Pettah Market,Evening,150
3650,Colombo City Center (CCC),Night,150
3651,One Galle Face ,Evening,150
3652,One Galle Face ,Night,150
3653,Colombo City Center (CCC),Night,150
3654,One Galle Face ,Evening,150
3655,One Galle Face ,Night,150
3656,Colombo City Center (CCC),Evening,150
3657,Colombo City Center (CCC),Night,150
3658,Viharamahadevi Park,Night,150
3659,Colombo City Center (CCC),Evening,150
3660,Port City,Night,150
3661,One Galle Face ,Night,150
3662,Colombo City Center (CCC),Night,150
3663,Colombo City Center (CCC),Evening,150
3664,Galle Face Green,Night,150
3665,National Museum of Colombo,Evening,150
3666,One Galle Face ,Evening,150
3667,Colombo City Center (CCC),Evening,150
3668,Galle Face Green,Evening,150
3669,One Galle Face ,Evening,150
3670,Galle Face Green,Night,150
3671,Kelaniya Raja Maha Viharaya,Evening,150
3672,Kelaniya Raja Maha Viharaya,Night,150
3673,Viharamahadevi Park,Morning,150
3674,Viharamahadevi Park,Evening,150
3675,One Galle Face ,Evening,150
3676,One Galle Face ,Night,150
3677,Colombo City Center (CCC),Evening,150
3678,Colombo City Center (CCC),Night,150
3679,Independence Memorial Hall,Evening,150
3680,Independence Memorial Hall,Night,150
3681,One Galle Face ,Evening,150
3682,Colombo City Center (CCC),Evening,150
3683,One Galle Face ,Evening,150
3684,Colombo City Center (CCC),Evening,150
3685,Independence Memorial Hall,Evening,150
3686,Viharamahadevi Park,Morning,150
3687,Viharamahadevi Park,Evening,150
3688,Viharamahadevi Park,Night,150
3689,One Galle Face ,Night,150
3690,National Museum of Colombo,Morning,150
3691,Pettah Market,Evening,150
3692,National Museum of Colombo,Morning,150
3693,Jami Ul-Alfar Mosque,Morning,150
3694,One Galle Face ,Night,150
3695,Colombo City Center (CCC),Night,150
3696,One Galle Face ,Evening,150
3697,Colombo City Center (CCC),Evening,150
3698,Port City,Night,150
3699,Pettah Market,Morning,150
3700,Pettah Market,Evening,150
3701,One Galle Face ,Evening,150
3702,Colombo City Center (CCC),Evening,150
3703,Colombo City Center (CCC),Night,150
3704,National Art Gallery,Night,150
3705,Lotus Tower,Night,150
3706,One Galle Face ,Evening,150
3707,Colombo City Center (CCC),Evening,150
3708,Viharamahadevi Park,Evening,150
3709,Colombo City Center (CCC),Night,150
3710,Independence Memorial Hall,Night,150
3711,Viharamahadevi Park,Night,150
3712,Port City,Night,150
3713,Pettah Market,Morning,150
3714,Galle Face Green,Evening,150
3715,National Museum of Colombo,Morning,150
3716,National Museum of Colombo,Evening,150
3717,Port City,Morning,150
3718,Port City,Night,150
3719,Lotus Tower,Morning,150
3720,Lotus Tower,Night,150
3721,Kelaniya Raja Maha Viharaya,Evening,150
3722,Kelaniya Raja Maha Viharaya,Night,150
3723,One Galle Face ,Evening,150
3724,Gangaramaya Temple,Evening,150
3725,One Galle Face ,Evening,150
3726,One Galle Face ,Night,150
3727,Colombo City Center (CCC),Morning,150
3728,Colombo City Center (CCC),Evening,150
3729,Pettah Market,Morning,150
3730,Pettah Market,Evening,150
3731,Pettah Market,Night,150
3732,Pettah Market,Morning,150
3733,Jami Ul-Alfar Mosque,Evening,150
3734,One Galle Face ,Night,150
3735,Galle Face Green,Night,150
3736,Lotus Tower,Night,150
3737,Pettah Market,Morning,150
3738,Galle Face Green,Evening,150
3739,Viharamahadevi Park,Evening,150
3740,One Galle Face ,Night,150
3741,Galle Face Green,Night,150
3742,Viharamahadevi Park,Evening,150
3743,Viharamahadevi Park,Night,150
3744,National Museum of Colombo,Morning,150
3745,National Museum of Colombo,Evening,150
3746,Viharamahadevi Park,Night,150
3747,One Galle Face ,Night,150
3748,Colombo City Center (CCC),Night,150
3749,One Galle Face ,Evening,180
3750,Colombo City Center (CCC),Morning,180
3751,Colombo City Center (CCC),Evening,180
3752,Colombo City Center (CCC),Night,180
3753,Galle Face Green,Night,180
3754,Dutch Museum,Morning,180
3755,Dutch Museum,Evening,180
3756,Dutch Museum,Night,180
3757,National Art Gallery,Night,180
3758,Kelaniya Raja Maha Viharaya,Morning,180
3759,Kailasanathar Swamy Kovil,Morning,180
3760,Kailasanathar Swamy Kovil,Evening,180
3761,Viharamahadevi Park,Night,180
3762,Port City,Evening,180
3763,Lotus Tower,Morning,180
3764,Lotus Tower,Evening,180
3765,Viharamahadevi Park,Morning,180
3766,Viharamahadevi Park,Night,180
3767,Port City,Night,180
3768,Pettah Market,Evening,180
3769,Pettah Market,Night,180
3770,One Galle Face ,Morning,180
3771,Colombo City Center (CCC),Morning,180
3772,Colombo City Center (CCC),Evening,180
3773,Colombo City Center (CCC),Night,180
3774,Galle Face Green,Night,180
3775,Gangaramaya Temple,Night,180
3776,National Museum of Colombo,Morning,180
3777,National Art Gallery,Morning,180
3778,National Art Gallery,Evening,180
3779,Viharamahadevi Park,Evening,180
3780,Port City,Night,180
3781,Lotus Tower,Night,180
3782,Pettah Market,Morning,180
3783,One Galle Face ,Morning,180
3784,One Galle Face ,Evening,180
3785,Colombo City Center (CCC),Morning,180
3786,Galle Face Green,Evening,180
3787,Dutch Museum,Morning,180
3788,Port City,Morning,180
3789,Pettah Market,Evening,180
3790,One Galle Face ,Morning,180
3791,One Galle Face ,Evening,180
3792,One Galle Face ,Night,180
3793,Colombo City Center (CCC),Night,180
3794,National Art Gallery,Morning,180
3795,Pettah Market,Morning,180
3796,One Galle Face ,Evening,180
3797,Galle Face Green,Night,180
3798,Gangaramaya Temple,Night,180
3799,Viharamahadevi Park,Night,180
3800,One Galle Face ,Evening,180
3801,One Galle Face ,Night,180
3802,Colombo City Center (CCC),Evening,180
3803,Colombo City Center (CCC),Night,180
3804,Galle Face Green,Night,180
3805,Port City,Morning,180
3806,Colombo City Center (CCC),Evening,180
3807,Galle Face Green,Morning,180
3808,Gangaramaya Temple,Night,180
3809,Independence Memorial Hall,Morning,180
3810,Kelaniya Raja Maha Viharaya,Night,180
3811,Viharamahadevi Park,Evening,180
3812,One Galle Face ,Evening,180
3813,One Galle Face ,Night,180
3814,Colombo City Center (CCC),Evening,180
3815,Colombo City Center (CCC),Night,180
3816,Galle Face Green,Morning,180
3817,Galle Face Green,Evening,180
3818,Galle Face Green,Night,180
3819,National Museum of Colombo,Morning,180
3820,National Museum of Colombo,Evening,180
3821,Independence Memorial Hall,Morning,180
3822,Independence Memorial Hall,Evening,180
3823,Kelaniya Raja Maha Viharaya,Morning,180
3824,Viharamahadevi Park,Evening,180
3825,One Galle Face ,Night,180
3826,Colombo City Center (CCC),Night,180
3827,Kelaniya Raja Maha Viharaya,Evening,180
3828,Port City,Morning,180
3829,Port City,Evening,180
3830,Lotus Tower,Evening,180
3831,Dutch Museum,Morning,180
3832,Dutch Museum,Evening,180
3833,Dutch Museum,Night,180
3834,National Art Gallery,Morning,180
3835,Jami Ul-Alfar Mosque,Morning,180
3836,One Galle Face ,Night,180
3837,National Museum of Colombo,Morning,180
3838,Colombo City Center (CCC),Evening,180
3839,Gangaramaya Temple,Night,180
3840,Independence Memorial Hall,Morning,180
3841,Independence Memorial Hall,Evening,180
3842,Kailasanathar Swamy Kovil,Evening,180
3843,Kailasanathar Swamy Kovil,Night,180
3844,Port City,Evening,180
3845,Galle Face Green,Evening,180
3846,Gangaramaya Temple,Night,180
3847,One Galle Face ,Evening,180
3848,One Galle Face ,Night,180
3849,National Museum of Colombo,Evening,180
3850,Kelaniya Raja Maha Viharaya,Morning,180
3851,Viharamahadevi Park,Evening,180
3852,One Galle Face ,Morning,180
3853,One Galle Face ,Night,180
3854,Colombo City Center (CCC),Morning,180
3855,Colombo City Center (CCC),Night,180
3856,Galle Face Green,Morning,180
3857,Gangaramaya Temple,Night,180
3858,National Museum of Colombo,Morning,180
3859,National Museum of Colombo,Night,180
3860,Independence Memorial Hall,Evening,180
3861,Independence Memorial Hall,Night,180
3862,Viharamahadevi Park,Morning,180
3863,One Galle Face ,Evening,180
3864,Colombo City Center (CCC),Evening,180
3865,Independence Memorial Hall,Evening,180
3866,Lotus Tower,Night,180
3867,Pettah Market,Evening,180
3868,National Museum of Colombo,Evening,180
3869,Dutch Museum,Evening,180
3870,Dutch Museum,Night,180
3871,National Art Gallery,Evening,180
3872,Kelaniya Raja Maha Viharaya,Morning,180
3873,Kelaniya Raja Maha Viharaya,Night,180
3874,Pettah Market,Evening,180
3875,Galle Face Green,Evening,180
3876,Kelaniya Raja Maha Viharaya,Evening,180
3877,One Galle Face ,Evening,180
3878,Pettah Market,Morning,180
3879,Pettah Market,Evening,180
3880,One Galle Face ,Evening,180
3881,Colombo City Center (CCC),Night,180
3882,Independence Memorial Hall,Morning,180
3883,One Galle Face ,Night,180
3884,Colombo City Center (CCC),Night,180
3885,Galle Face Green,Evening,180
3886,National Museum of Colombo,Morning,180
3887,National Art Gallery,Evening,180
3888,Kelaniya Raja Maha Viharaya,Morning,180
3889,Viharamahadevi Park,Night,180
3890,Port City,Morning,180
3891,Pettah Market,Morning,180
3892,One Galle Face ,Night,180
3893,Colombo City Center (CCC),Night,180
3894,Galle Face Green,Night,180
3895,Dutch Museum,Night,180
3896,Kailasanathar Swamy Kovil,Morning,180
3897,One Galle Face ,Evening,180
3898,Colombo City Center (CCC),Evening,180
3899,One Galle Face ,Evening,180
3900,One Galle Face ,Night,180
3901,Colombo City Center (CCC),Evening,180
3902,Port City,Night,180
3903,One Galle Face ,Morning,180
3904,National Art Gallery,Morning,180
3905,National Art Gallery,Evening,180
3906,National Art Gallery,Night,180
3907,Kailasanathar Swamy Kovil,Morning,180
3908,Kailasanathar Swamy Kovil,Evening,180
3909,Kailasanathar Swamy Kovil,Night,180
3910,Pettah Market,Morning,180
3911,Pettah Market,Evening,180
3912,Pettah Market,Night,180
3913,One Galle Face ,Night,180
3914,Colombo City Center (CCC),Night,180
3915,Galle Face Green,Evening,180
3916,Galle Face Green,Night,180
3917,Independence Memorial Hall,Morning,180
3918,Independence Memorial Hall,Evening,180
3919,Dutch Museum,Morning,180
3920,National Art Gallery,Morning,180
3921,Kailasanathar Swamy Kovil,Morning,180
3922,Viharamahadevi Park,Evening,180
3923,Viharamahadevi Park,Night,180
3924,Port City,Morning,180
3925,Pettah Market,Morning,180
3926,Pettah Market,Evening,180
3927,One Galle Face ,Night,180
3928,Colombo City Center (CCC),Evening,180
3929,Galle Face Green,Evening,180
3930,Pettah Market,Evening,180
3931,One Galle Face ,Night,180
3932,One Galle Face ,Evening,180
3933,Pettah Market,Evening,180
3934,Colombo City Center (CCC),Night,180
3935,One Galle Face ,Evening,180
3936,One Galle Face ,Night,180
3937,Colombo City Center (CCC),Night,180
3938,One Galle Face ,Evening,180
3939,One Galle Face ,Night,180
3940,Colombo City Center (CCC),Evening,180
3941,Colombo City Center (CCC),Night,180
3942,Viharamahadevi Park,Night,180
3943,Colombo City Center (CCC),Evening,180
3944,Port City,Night,180
3945,One Galle Face ,Night,180
3946,Colombo City Center (CCC),Night,180
3947,Colombo City Center (CCC),Evening,180
3948,Galle Face Green,Night,180
3949,National Museum of Colombo,Evening,180
3950,One Galle Face ,Evening,180
3951,Colombo City Center (CCC),Evening,180
3952,Galle Face Green,Evening,180
3953,One Galle Face ,Evening,180
3954,Galle Face Green,Night,180
3955,Kelaniya Raja Maha Viharaya,Evening,180
3956,Kelaniya Raja Maha Viharaya,Night,180
3957,Viharamahadevi Park,Morning,180
3958,Viharamahadevi Park,Evening,180
3959,One Galle Face ,Evening,180
3960,One Galle Face ,Night,180
3961,Colombo City Center (CCC),Evening,180
3962,Colombo City Center (CCC),Night,180
3963,Independence Memorial Hall,Evening,180
3964,Independence Memorial Hall,Night,180
3965,One Galle Face ,Evening,180
3966,Colombo City Center (CCC),Evening,180
3967,One Galle Face ,Evening,180
3968,Colombo City Center (CCC),Evening,180
3969,Independence Memorial Hall,Evening,180
3970,Viharamahadevi Park,Morning,180
3971,Viharamahadevi Park,Evening,180
3972,Viharamahadevi Park,Night,180
3973,One Galle Face ,Night,180
3974,National Museum of Colombo,Morning,180
3975,Pettah Market,Evening,180
3976,National Museum of Colombo,Morning,180
3977,Jami Ul-Alfar Mosque,Morning,180
3978,One Galle Face ,Night,180
3979,Colombo City Center (CCC),Night,180
3980,One Galle Face ,Evening,180
3981,Colombo City Center (CCC),Evening,180
3982,Port City,Night,180
3983,Pettah Market,Morning,180
3984,Pettah Market,Evening,180
3985,One Galle Face ,Evening,180
3986,Colombo City Center (CCC),Evening,180
3987,Colombo City Center (CCC),Night,180
3988,National Art Gallery,Night,180
3989,Lotus Tower,Night,180
3990,One Galle Face ,Evening,180
3991,Colombo City Center (CCC),Evening,180
3992,Viharamahadevi Park,Evening,180
3993,Colombo City Center (CCC),Night,180
3994,Independence Memorial Hall,Night,180
3995,Viharamahadevi Park,Night,180
3996,Port City,Night,180
3997,Pettah Market,Morning,180
3998,Galle Face Green,Evening,180
3999,National Museum of Colombo,Morning,180
4000,National Museum of Colombo,Evening,180
4001,Port City,Morning,180
4002,Port City,Night,180
4003,Lotus Tower,Morning,180
4004,Lotus Tower,Night,180
4005,Kelaniya Raja Maha Viharaya,Evening,180
4006,Kelaniya Raja Maha Viharaya,Night,180
4007,One Galle Face ,Evening,180
4008,Gangaramaya Temple,Evening,180
4009,One Galle Face ,Evening,180
4010,One Galle Face ,Night,180
4011,Colombo City Center (CCC),Morning,180
4012,Colombo City Center (CCC),Evening,180
4013,Pettah Market,Morning,180
4014,Pettah Market,Evening,180
4015,Pettah Market,Night,180
4016,Pettah Market,Morning,180
4017,Jami Ul-Alfar Mosque,Evening,180
4018,One Galle Face ,Night,180
4019,Galle Face Green,Night,180
4020,Lotus Tower,Night,180
4021,Pettah Market,Morning,180
4022,Galle Face Green,Evening,180
4023,Viharamahadevi Park,Evening,180
4024,One Galle Face ,Night,180
4025,Galle Face Green,Night,180
4026,Viharamahadevi Park,Evening,180
4027,Viharamahadevi Park,Night,180
4028,National Museum of Colombo,Morning,180
4029,National Museum of Colombo,Evening,180
4030,Viharamahadevi Park,Night,180
4031,One Galle Face ,Night,180
4032,Colombo City Center (CCC),Night,180
4033,Galle Face Green,Morning,90
4034,Gangaramaya Temple,Morning,90
4035,Gangaramaya Temple,Night,90
4036,Independence Memorial Hall,Morning,90
4037,Independence Memorial Hall,Evening,90
4038,Independence Memorial Hall,Night,90
4039,Kelaniya Raja Maha Viharaya,Evening,90
4040,Kelaniya Raja Maha Viharaya,Night,90
4041,Viharamahadevi Park,Morning,90
4042,Viharamahadevi Park,Evening,90
4043,Pettah Market,Morning,90
4044,Pettah Market,Night,90
4045,One Galle Face ,Morning,90
4046,One Galle Face ,Evening,90
4047,One Galle Face ,Night,90
4048,Colombo City Center (CCC),Morning,90
4049,Colombo City Center (CCC),Evening,90
4050,Colombo City Center (CCC),Night,90
4051,Galle Face Green,Morning,90
4052,Galle Face Green,Evening,90
4053,Galle Face Green,Night,90
4054,Gangaramaya Temple,Morning,90
4055,Gangaramaya Temple,Evening,90
4056,Gangaramaya Temple,Night,90
4057,National Museum of Colombo,Evening,90
4058,National Museum of Colombo,Night,90
4059,Independence Memorial Hall,Morning,90
4060,Independence Memorial Hall,Evening,90
4061,Independence Memorial Hall,Night,90
4062,Kelaniya Raja Maha Viharaya,Morning,90
4063,Kelaniya Raja Maha Viharaya,Evening,90
4064,Kelaniya Raja Maha Viharaya,Night,90
4065,Kailasanathar Swamy Kovil,Morning,90
4066,Kailasanathar Swamy Kovil,Evening,90
4067,Kailasanathar Swamy Kovil,Night,90
4068,Viharamahadevi Park,Evening,90
4069,Port City,Morning,90
4070,Port City,Evening,90
4071,Lotus Tower,Morning,90
4072,Lotus Tower,Night,90
4073,Pettah Market,Morning,90
4074,Galle Face Green,Morning,90
4075,Gangaramaya Temple,Morning,90
