,locations,timeOfDay,stayTime
423,Dutch Museum,Morning,45
429,Kelaniya Raja Maha Viharaya,Morning,60
430,Kelaniya Raja Maha Viharaya,Evening,120
431,Kelaniya Raja Maha Viharaya,Night,45
435,Viharamahadevi Park,Morning,45
436,Viharamahadevi Park,Evening,60
437,Viharamahadevi Park,Night,60
438,Port City,Morning,120
439,Port City,Evening,120
441,Lotus Tower,Morning,60
442,Lotus Tower,Evening,120
444,Pettah Market,Morning,200
445,Pettah Market,Evening,200
446,Pettah Market,Night,200
451,One Galle Face ,Evening,45
452,One Galle Face ,Night,60
454,Colombo City Center (CCC),Evening,45
455,Colombo City Center (CCC),Night,60
456,Galle Face Green,Morning,45
458,Galle Face Green,Night,45
459,Gangaramaya Temple,Morning,45
460,Gangaramaya Temple,Evening,45
461,Gangaramaya Temple,Night,60
462,National Museum of Colombo,Morning,60
463,National Museum of Colombo,Evening,45
464,National Museum of Colombo,Night,60
465,Independence Memorial Hall,Morning,60
466,Independence Memorial Hall,Evening,60
467,Independence Memorial Hall,Night,60
468,Dutch Museum,Morning,120
469,Dutch Museum,Evening,120
470,Dutch Museum,Night,120
471,National Art Gallery,Morning,120
472,National Art Gallery,Evening,60
473,National Art Gallery,Night,45
475,Kelaniya Raja Maha Viharaya,Evening,45
476,Kelaniya Raja Maha Viharaya,Night,60
477,Kailasanathar Swamy Kovil,Morning,60
478,Kailasanathar Swamy Kovil,Evening,45
481,Viharamahadevi Park,Evening,45
482,Viharamahadevi Park,Night,60
483,Port City,Morning,60
484,Port City,Evening,45
486,Lotus Tower,Morning,60
487,Lotus Tower,Evening,45
490,Pettah Market,Evening,45
491,Pettah Market,Night,60
492,Jami Ul-Alfar Mosque,Morning,120
493,Jami Ul-Alfar Mosque,Evening,60
494,Jami Ul-Alfar Mosque,Night,45
496,One Galle Face ,Evening,60
497,One Galle Face ,Night,120
507,National Museum of Colombo,Morning,120
519,Kelaniya Raja Maha Viharaya,Morning,60
526,Viharamahadevi Park,Evening,60
535,Pettah Market,Evening,45
541,One Galle Face ,Evening,60
542,One Galle Face ,Night,60
544,Colombo City Center (CCC),Evening,60
545,Colombo City Center (CCC),Night,60
546,Galle Face Green,Morning,45
547,Galle Face Green,Evening,60
548,Galle Face Green,Night,60
556,Independence Memorial Hall,Evening,60
557,Independence Memorial Hall,Night,60
570,Viharamahadevi Park,Morning,60
571,Viharamahadevi Park,Evening,60
573,Port City,Morning,200
574,Port City,Evening,200
575,Port City,Night,200
579,Pettah Market,Morning,200
580,Pettah Market,Evening,200
581,Pettah Market,Night,200
585,One Galle Face ,Morning,200
586,One Galle Face ,Evening,200
587,One Galle Face ,Night,60
588,Colombo City Center (CCC),Morning,60
589,Colombo City Center (CCC),Evening,120
590,Colombo City Center (CCC),Night,200
592,Galle Face Green,Evening,200
593,Galle Face Green,Night,200
594,Gangaramaya Temple,Morning,200
595,Gangaramaya Temple,Evening,200
596,Gangaramaya Temple,Night,120
598,National Museum of Colombo,Evening,200
600,Independence Memorial Hall,Morning,120
601,Independence Memorial Hall,Evening,120
602,Independence Memorial Hall,Night,60
609,Kelaniya Raja Maha Viharaya,Morning,200
610,Kelaniya Raja Maha Viharaya,Evening,60
611,Kelaniya Raja Maha Viharaya,Night,200
613,Kailasanathar Swamy Kovil,Evening,120
614,Kailasanathar Swamy Kovil,Night,120
615,Viharamahadevi Park,Morning,45
616,Viharamahadevi Park,Evening,200
619,Port City,Evening,120
622,Lotus Tower,Evening,200
624,Pettah Market,Morning,200
625,Pettah Market,Evening,200
626,Pettah Market,Night,200
630,One Galle Face ,Morning,60
631,One Galle Face ,Evening,60
632,One Galle Face ,Night,60
634,Colombo City Center (CCC),Evening,60
635,Colombo City Center (CCC),Night,60
637,Galle Face Green,Evening,120
638,Galle Face Green,Night,60
639,Gangaramaya Temple,Morning,45
640,Gangaramaya Temple,Evening,60
641,Gangaramaya Temple,Night,120
643,National Museum of Colombo,Evening,45
646,Independence Memorial Hall,Evening,45
647,Independence Memorial Hall,Night,60
659,Kailasanathar Swamy Kovil,Night,60
661,Viharamahadevi Park,Evening,60
664,Port City,Evening,60
665,Port City,Night,45
667,Lotus Tower,Evening,45
669,Pettah Market,Morning,60
670,Pettah Market,Evening,60
676,One Galle Face ,Evening,120
677,One Galle Face ,Night,120
680,Colombo City Center (CCC),Night,200
682,Galle Face Green,Evening,45
683,Galle Face Green,Night,45
721,One Galle Face ,Evening,45
722,One Galle Face ,Night,60
724,Colombo City Center (CCC),Evening,45
725,Colombo City Center (CCC),Night,60
727,Galle Face Green,Evening,45
728,Galle Face Green,Night,60
731,Gangaramaya Temple,Night,60
733,National Museum of Colombo,Evening,45
735,Independence Memorial Hall,Morning,45
736,Independence Memorial Hall,Evening,60
737,Independence Memorial Hall,Night,60
739,Dutch Museum,Evening,45
742,National Art Gallery,Evening,45
745,Kelaniya Raja Maha Viharaya,Evening,60
747,Kailasanathar Swamy Kovil,Morning,45
748,Kailasanathar Swamy Kovil,Evening,60
749,Kailasanathar Swamy Kovil,Night,60
750,Viharamahadevi Park,Morning,45
